id,Assigned Dealer Account,zip,route,,,,,,,,,,,,,
74,SX Absolute,33759,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
75,SX Absolute,33760,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
76,SX Absolute,33761,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
77,SX Absolute,33762,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
78,SX Absolute,33763,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
79,SX Absolute,33764,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
80,SX Absolute,33765,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
81,SX Absolute,33767,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
82,SX Absolute,33770,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
83,SX Absolute,33771,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
84,SX Absolute,33772,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
85,SX Absolute,33773,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
86,SX Absolute,33774,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
87,SX Absolute,33776,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
88,SX Absolute,33777,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
89,SX Absolute,33778,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
90,SX Absolute,33781,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
91,SX Absolute,33782,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
92,SX Absolute,33785,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
93,SX Absolute,33786,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
94,SX Absolute,33946,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
95,SX Absolute,33947,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
96,SX Absolute,33948,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
97,SX Absolute,33950,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
98,SX Absolute,33952,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
99,SX Absolute,33953,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
100,SX Absolute,33954,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
101,SX Absolute,33955,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
102,SX Absolute,33980,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
103,SX Absolute,33981,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
104,SX Absolute,33982,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
105,SX Absolute,33983,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
106,SX Absolute,34201,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
107,SX Absolute,34202,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
108,SX Absolute,34203,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
109,SX Absolute,34205,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
110,SX Absolute,34207,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
111,SX Absolute,34208,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
112,SX Absolute,34209,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
113,SX Absolute,34210,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
114,SX Absolute,34211,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
115,SX Absolute,34212,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
116,SX Absolute,34215,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
117,SX Absolute,34217,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
118,SX Absolute,34219,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
119,SX Absolute,34221,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
120,SX Absolute,34222,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
121,SX Absolute,34223,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
122,SX Absolute,34224,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
123,SX Absolute,34228,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
124,SX Absolute,34229,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
125,SX Absolute,34231,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
126,SX Absolute,34232,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
127,SX Absolute,34233,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
128,SX Absolute,34234,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
129,SX Absolute,34235,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
130,SX Absolute,34236,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
131,SX Absolute,34237,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
132,SX Absolute,34238,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
133,SX Absolute,34239,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
